Index,Name,Variant,Tier,EatingAmount,ReproductionMultiplier,DeathThreshold,DeathRate,MinimumDeaths,ReproThreshold,EatingStars,ReproductionStars,DeathThresholdStars,DeathRateStars,ThermalBreadthStars,Description,TemperatureThresholdText,ReproductionRateText,SpeciesAmount,OptimalTempK,ArrhenBreadth,ArrhenLower,ArrhenUpper,LowerBoundK,UpperBoundK,IconFile
0,"hexapod","Common",1,3,0.45,0.3,0.6,1,0.25,0,4,3,2,5,"Common Hexagellies live in temperature waters around the world and can tolerate a wide range of temperatures. But, they are slow growing and take a long time to mature. ","High","Low",0,293.149993896484,5273.14990234375,10273.150390625,21273.150390625,285.149993896484,295.149993896484,"icons/00_hexapod_Common.png"
1,"gelgi","Common",1,3,0.45,0.3,0.5,1,0.25,0,3,3,3,3,"Common Gelgi photosynthesize using chlorophyll, giving them their characteristic green color. ","Average","Average",0,289.649993896484,5273.14990234375,28273.150390625,35273.1484375,290.649993896484,294.149993896484,"icons/01_gelgi_Common.png"
2,"yelloo","Common",1,3,0.55,0.3,0.4,1,0.25,0,5,2,4,1,"Common Yelloo form massive schools in the wild during the spring making the sea appear bright yellow.","Low","High",0,295.350006103516,10273.150390625,80273.1484375,85273.1484375,292.899993896484,293.399993896484,"icons/02_yelloo_Common.png"
3,"hexapod tropical","Tropical",1,3,0.45,0.3,0.6,1,0.25,0,4,3,2,5,"Tropical Hexagellies like to bask in warm, sunlight-filled waters. They don't tolerate cold conditions, but when they are warm, they can grow and reproduce very rapidly. ","High","Low",0,308.649993896484,5273.14990234375,10273.150390625,21273.150390625,300.149993896484,310.149993896484,"icons/03_hexapod tropical_Tropical.png"
4,"gelgi tropical","Tropical",1,3,0.45,0.3,0.5,1,0.25,0,3,3,3,3,"Tropical Gelgi have a second row of spines, making them resemble rays of sunlight.","Average","Average",0,304.450012207031,5273.14990234375,28273.150390625,35273.1484375,305.649993896484,309.149993896484,"icons/04_gelgi tropical_Tropical.png"
5,"yelloo tropical","Tropical",1,3,0.55,0.3,0.4,1,0.25,0,5,2,4,1,"The brightly-colored Tropical Yelloo put on elaborate displays to confuse their predators.","Low","High",0,310.600006103516,10273.150390625,80273.1484375,85273.1484375,307.899993896484,308.399993896484,"icons/05_yelloo tropical_Tropical.png"
6,"hexapod arctic","Arctic",1,3,0.45,0.3,0.6,1,0.25,0,4,3,2,5,"Cold-loving (Arctic) Hexagellies resemble snowflakes leading to their common name ""sea crystals."" ","High","Low",0,278.149993896484,5273.14990234375,10273.150390625,21273.150390625,270.149993896484,280.149993896484,"icons/06_hexapod arctic_Arctic.png"
7,"gelgi arctic","Arctic",1,3,0.45,0.3,0.5,1,0.25,0,3,3,3,3,"Unlike other subspecies of Gelgi, the Arctic Gelgi subspecies has rigid spines to protect themselves from predators. ","Average","Average",0,274.850006103516,5273.14990234375,28273.150390625,35273.1484375,275.149993896484,279.649993896484,"icons/07_gelgi arctic_Arctic.png"
8,"yelloo arctic","Arctic",1,3,0.55,0.3,0.4,1,0.25,0,5,2,4,1,"Arctic Yelloo are very pale to help them blend into their environment. Like Hexagellies, they are photosynthetic and get their energy from the sun.","Low","High",0,280.149993896484,10273.150390625,80273.1484375,85273.1484375,277.899993896484,278.399993896484,"icons/08_yelloo arctic_Arctic.png"
9,"shelpik","Common",2,1.5,0.1,0.3,0.3,1,0.25,4,2,4,4,5,"Shells of the Common Sheplik become redder as they grow older. Their color makes them a popular pet in captivity.","High","Low",0,293.149993896484,5273.14990234375,10273.150390625,21273.150390625,285.149993896484,295.149993896484,"icons/09_shelpik_Common.png"
